x, y
3.0087336244541487, 0
3.860262008733625, 61.886051080550104
4.882096069868996, 302.55402750491163
5.932314410480348, 722.0039292730845
6.954148471615721, 1223.9685658153242
7.947598253275109, 1822.2003929273085
8.941048034934498, 2441.0609037328095
9.906113537117903, 2626.71905697446
10.956331877729259, 2839.882121807466
11.978165938864628, 2929.2730844793714
12.971615720524017, 3039.292730844794
14.021834061135372, 3087.426326129666
14.986899563318776, 3032.416502946955
15.980349344978166, 2977.4066797642436
17.03056768558952, 2888.015717092338
18.024017467248907, 2791.7485265225937
18.960698689956335, 2674.852652259332
19.982532751091703, 2585.4616895874265
21.004366812227076, 2482.318271119843
22.02620087336245, 2379.1748526522597
22.96288209606987, 2282.907662082515
23.95633187772926, 2193.5166994106094
24.97816593886463, 2083.497053045187
25.914847161572055, 2007.8585461689588
