Windspeed_m_per_s,power_output_W
2.02601626,0
3.18699187,100.9174312
3.983739837,239.6788991
4.666666667,491.9724771
5.440650407,996.559633
6.032520325,1475.917431
6.76097561,1993.119266
7.580487805,2497.706422
8.627642276,3002.293578
9.17398374,3494.266055
9.606504065,3998.853211
10.08455285,4503.440367
10.83577236,4881.880734
11.76910569,5058.486239
12.54308943,5108.944954
13.27154472,5083.715596
